rxns	rxnNames	FV_GEM	FV_ecModel
EX_acgam_e	N-Acetyl-D-glucosamine exchange	999.976061060347	0.00759235371426492
EX_cellb_e	Cellobiose exchange	2.56173764899515e-08	1.28086882454637e-08
EX_pi_e	Phosphate exchange	1000	0.0622539787755628
EX_h_e	H+ exchange	578.774182470171	0.19088596094958
EX_ade_e	Adenine exchange	1000	0.00109758109332964
EX_4abut_e	4-Aminobutanoate exchange	1000	0.00109758109332585
EX_ac_e	Acetate exchange	1000	0.00105496421364279
EX_akg_e	2-Oxoglutarate exchange	1000	2.45363068125663e-06
EX_ala__L_e	L-Alanine exchange	1000	0.000710403292795488
EX_arg__L_e	L-Arginine exchange	1000	0.0138088503829123
EX_fum_e	Fumarate exchange	524.240852375935	0.00281518649087076
EX_glu__L_e	L-Glutamate exchange	250.825067665805	0.00497510713851879
EX_gua_e	Guanine exchange	999.873042984864	0.00101216939240362
EX_met__L_e	L-Methionine exchange	1000	0.00872548436456289
EX_crn_e	L-Carnitine exchange	88.3898269062093	3.47905399104958e-05
EX_fe3_e	Fe3+ exchange	176.779653812419	6.95810798297401e-05
EX_glcn_e	D-Gluconate exchange	999.999871925926	0.00520032212848954
EX_gln__L_e	L-Glutamine exchange	999.999871925926	0.00520032212812419
EX_glyc_e	Glycerol exchange	88.3898269062093	3.47905399104958e-05
EX_man_e	D-Mannose exchange	274.287651657309	1998.89200878928
EX_mn2_e	Mn2+ exchange	2000	1865.82031779092
EX_rib__D_e	D-Ribose exchange	3.19355689083962e-08	1.55858385132723e-08
EX_sbt__D_e	D-Sorbitol exchange	3.19355689083962e-08	1.55858385132723e-08
EX_ura_e	Uracil exchange	47.7626022711488	7.52113135521617e-06
EX_val__L_e	L-Valine exchange	47.7626022711489	7.5211313542109e-06
EX_xan_e	Xanthine exchange	267.370374525606	0.000630671482751619
EX_thymd_e	Thymidine exchange	999.698126536528	0.00088447340536979
EX_tyr__L_e	L-Tyrosine exchange	263.062006000225	0.00026093811961353
EX_btn_e	Biotin exchange	998.348727757559	0.000382363002051439
EX_ptrc_e	Putrescine exchange	577.942321827063	0.000109341339645824
EX_spmd_e	Spermidine exchange	382.100818169186	6.0170069124189e-05
EX_thym_e	Thymine exchange	0.000128099691138004	2.08114471139664e-06
EX_fe2_e	Fe2+ exchange	1000	0.0279875642924676
EX_glc__D_e	D-Glucose exchange	1000	5.39013660120776e-06
EX_alltn_e	Allantoin exchange	1000	5.39013642120167e-06
EX_dgsn_e	Deoxyguanosine exchange	998.209036274092	0.00359636558184206
EX_arab__L_e	L-Arabinose exchange	998.209036274095	0.00369761729418772
EX_fru_e	D-Fructose exchange	1998.08486128054	0.00676648543917707
EX_gal_e	D-Galactose exchange	578.584199226988	0.000903397794827926
EX_xyl__D_e	D-Xylose exchange	578.58419922699	0.000903397794797284
