rxns	rxnNames	grRules	subSystems	Std_GEM	Std_ecM	Std_ecP	HiT_GEM	HiT_ecM	HiT_ecP	LpH_GEM	LpH_ecM	LpH_ecP	Osm_GEM	Osm_ecM	Osm_ecP
r_0001	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	KLMA_30105 or KLMA_30148 or KLMA_60075	Glycolysis / Gluconeogenesis	0	0	0	-0	0	0	-0	0	0	-0	0	0
r_0002	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	KLMA_20278 and KLMA_20172	Glycolysis / Gluconeogenesis	-0	0.043422282149522	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
r_0003	ATP:pyruvate 2-O-phosphotransferase	KLMA_60219	Glycolysis / Gluconeogenesis	1.56032589873069	1.68731672200161	0.854033003054948	3.27365770633108	3.26756659270288	3.22914428897242	2.08125770633108	2.26529851823727	1.69203272709384	2.21885770633107	2.40427451823726	2.41655066158436
r_0004	Acetate:CoA ligase (AMP-forming)	KLMA_30602 or KLMA_50533	Glycolysis / Gluconeogenesis	0.261199796872011	0.220586469709021	0.228961871366065	0.23152752322724	0.161346772963212	0.220339756946628	0.231534916079018	0.161346772963212	0.159724593311258	0.231534062976994	0.161346772963212	0.122727700908354
r_0005	ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)	KLMA_30719	Glycolysis / Gluconeogenesis	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
r_0006	2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)	KLMA_10462	Glycolysis / Gluconeogenesis	1.69004948153397	1.82160932822361	0.96788138072165	3.38864456777445	3.37350751993892	3.34738003092214	2.19624456777445	2.37123944547331	1.80967813088303	2.33384456777444	2.5102154454733	2.5438691349265
r_0007	Acetaldehyde:NAD+ oxidoreductase	KLMA_20673 or KLMA_50012 or KLMA_40404 or KLMA_10742 or KLMA_20672	Glycolysis / Gluconeogenesis	-0	0.220586469709021	0.50318844691822	-0	-0	1.38145060161679	0.231534916079018	1.72108177231698	1.04412428298001	0.231534062976994	1.47857955543715	1.83970748480506
r_0008	Acetaldehyde:NAD+ oxidoreductase	KLMA_20673 or KLMA_50012 or KLMA_40404 or KLMA_10742 or KLMA_20672	Glycolysis / Gluconeogenesis	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
r_0009	Acetaldehyde:NADP+ oxidoreductase	KLMA_20673 or KLMA_50012 or KLMA_40404 or KLMA_10742 or KLMA_20672	Glycolysis / Gluconeogenesis	0.261199796872011	-0	-0	0.23152752322724	0.161346772963212	0.313661366122117	-0	0.237412771763927	-0	-0	0.22293317827635	0.048277554800281
r_0010	Acetaldehyde:NADP+ oxidoreductase	KLMA_20673 or KLMA_50012 or KLMA_40404 or KLMA_10742 or KLMA_20672	Glycolysis / Gluconeogenesis	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
r_0011	Ethanol:NADP+ oxidoreductase	KLMA_40102 or KLMA_40220 or KLMA_80306 or KLMA_20158 or KLMA_80339 or KLMA_60425	Glycolysis / Gluconeogenesis	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
r_0012	Ethanol:NADP+ oxidoreductase	KLMA_40102 or KLMA_40220 or KLMA_80306 or KLMA_20158 or KLMA_80339 or KLMA_60425	Glycolysis / Gluconeogenesis	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
r_0013	ethanol:NAD+ oxidoreductase	KLMA_40102 or KLMA_40220 or KLMA_80306 or KLMA_20158 or KLMA_20005 or KLMA_50315 or KLMA_40624	Glycolysis / Gluconeogenesis	-0	0	0	-0	0	0	-0	0	0	-0	0	0
