OG	sceGenes	enzNames	sce_uniprot	kma_uniprot	yli_uniprot	sce	kma	yli
OG0002079	YOR175C	ALE1	Q08548	W0TAY5	Q6C138	0.481425671761731	0.0293723625223396	0
OG0001528	YJR073C	OPI3	P05375	W0T7G3	Q6C649	0.0868388828663475	0	0
OG0002341	YPL117C	IDI1	P15496	W0TB79	Q6C2Y8	3.14438381670631e-05	0	1.13978105834524e-05
OG0000763	YMR300C	ADE4	P04046	W0T3E2	Q6CEI8	0.0152176505023607	0.655728900158501	0.989999999999921
OG0002086	YOR168W	GLN4	P13188	W0T9W1	Q6CD53	0.177763394281219	0	0
OG0000755	YER183C	FAU1	P40099	W0T403	Q6CAN2	0	0	0
OG0003357	YER069W	ARG5,6	Q01217	W0TG27	Q6CE87	0.142978634519141	0.134141896951221	0.274494826044042
OG0002166	YER052C	HOM3	P10869	W0TC56	Q6C9F1	0.00658272740312991	0.0108641393899442	0
OG0003097	YNL037C	IDH1	P28834	W0TGG7	Q6C6Z1	0.0997074963677214	0	0
OG0000859	YGR244C	LSC2	P53312	W0T4J0	Q6CA97	0	0	0.0150816121496664
OG0002920	YKL085W	MDH1	P17505	W0TEG9	Q6C8V3	0.0052471342853613	0.000401591970151153	0.343955496770829
OG0003251	YLL041C	SDH2	P21801	W0TKL8	Q6C823	0.00237978923993151	0.00263535611304759	0.0359320567786735
OG0001036	YGL256W	ADH4	P10127	W0T5Y2	Q6C5R5	0	0	0
OG0002443	YKL094W	YJU3	P28321	W0TDJ9	Q6CBY1	0	0	0
OG0002044	YDR037W	KRS1	P15180	W0TBE8	Q6C1H2	0.0154438071147124	0	0
OG0001685	YEL042W	GDA1	P32621	W0T9T1	Q6CBK6	0	0	0
OG0001314	YFR019W	FAB1	P34756	W0T809	Q6C473	0	0	0
OG0001764	YDR284C	DPP1	Q05521	W0T7V9	Q6CEM4	0	0	0
OG0001165	YNR041C	COQ2	P32378	W0T503	Q6C2S2	0	0	0
OG0000972	YNL247W	YNL247W	P53852	W0T6N9	Q6C909	0.0116276783927225	0	0
OG0000766	YMR296C	LCB1	P25045	W0T3Y7	Q6CD74	0	0	0
OG0002737	YNR016C	ACC1	Q00955	W0TEH6	Q6CC91	0.112969797631298	0.0489385575604844	0
OG0003295	YLR382C	NAM2	P11325	W0TEZ8	Q6C363	0	0	0
OG0000667	YLR303W	MET17	P06106	W0T8A1	Q6C7U9	0.00428936518421815	0	0.00632406657517568
OG0001368	YOR143C	THI80	P35202	W0TA94	Q6C536	0	0	0
OG0001680	YEL046C	GLY1	P37303	W0T828	Q6CG81	0	0	0
OG0001432	YMR165C	PAH1	P32567	W0T686	Q6C7L9	0	0	0
OG0000674	YKL067W	YNK1	P36010	W0T4F5	Q6C2B5	0.0175989344006619	0.00933434633228789	0.00274280828862749
OG0001604	YJL097W	PHS1	P40857	W0T8S9	Q6C203	0	0	0
OG0003257	YML035C	AMD1	P15274	W0TE06	Q6C690	0	0	0
OG0000979	YNL256W	FOL1	P53848	W0T3X7	Q6CI15	0	0	0
OG0000721	YML110C	COQ5	P49017	W0T570	Q6CBJ6	0	0	0
