OG	sceGenes	enzNames	sce_uniprot	kma_uniprot	yli_uniprot	sce	kma	yli
OG0002079	YOR175C	ALE1	Q08548	W0TAY5	Q6C138	0	0.0826829011189898	0
OG0001528	YJR073C	OPI3	P05375	W0T7G3	Q6C649	0.0449159669311318	0	0.0937935331513368
OG0002341	YPL117C	IDI1	P15496	W0TB79	Q6C2Y8	2.43396084288701e-05	0	6.27474614725945e-05
OG0000763	YMR300C	ADE4	P04046	W0T3E2	Q6CEI8	0.00761878726760007	1	0.795785265702251
OG0002086	YOR168W	GLN4	P13188	W0T9W1	Q6CD53	0.197848333211474	0	0
OG0000755	YER183C	FAU1	P40099	W0T403	Q6CAN2	0	0	0
OG0003357	YER069W	ARG5,6	Q01217	W0TG27	Q6CE87	0.141599259594339	0.483917664552201	0.168387615992626
OG0002166	YER052C	HOM3	P10869	W0TC56	Q6C9F1	0.0130426320466552	0.0181187057418403	0
OG0003097	YNL037C	IDH1	P28834	W0TGG7	Q6C6Z1	0.38597611075724	0.249321979684578	0
OG0000859	YGR244C	LSC2	P53312	W0T4J0	Q6CA97	0.0274127877494431	0.00292101262733785	0.0230891234191921
OG0002920	YKL085W	MDH1	P17505	W0TEG9	Q6C8V3	0.0329806149092913	0.0672137272517208	0.152875552658336
OG0003251	YLL041C	SDH2	P21801	W0TKL8	Q6C823	0.131436556856412	0.0497931406418579	0.0814927871469643
OG0001036	YGL256W	ADH4	P10127	W0T5Y2	Q6C5R5	0	0	1
OG0002443	YKL094W	YJU3	P28321	W0TDJ9	Q6CBY1	0	0	0
OG0002044	YDR037W	KRS1	P15180	W0TBE8	Q6C1H2	0.0176514420994229	0	0
OG0001685	YEL042W	GDA1	P32621	W0T9T1	Q6CBK6	0	0	0
OG0001314	YFR019W	FAB1	P34756	W0T809	Q6C473	0	0	0
OG0001764	YDR284C	DPP1	Q05521	W0T7V9	Q6CEM4	0	0	0
OG0001165	YNR041C	COQ2	P32378	W0T503	Q6C2S2	0	0	0
OG0000972	YNL247W	YNL247W	P53852	W0T6N9	Q6C909	0.0170830106038661	0	0
OG0000766	YMR296C	LCB1	P25045	W0T3Y7	Q6CD74	0	0	0
OG0002737	YNR016C	ACC1	Q00955	W0TEH6	Q6CC91	0.124014410812236	0.064860447828321	0
OG0003295	YLR382C	NAM2	P11325	W0TEZ8	Q6C363	0	0	0
OG0000667	YLR303W	MET17	P06106	W0T8A1	Q6C7U9	0	0	0.0131389492104947
OG0001368	YOR143C	THI80	P35202	W0TA94	Q6C536	0	0	0
OG0001680	YEL046C	GLY1	P37303	W0T828	Q6CG81	0	0.0373503230979741	0
OG0001432	YMR165C	PAH1	P32567	W0T686	Q6C7L9	0	0	0
OG0000674	YKL067W	YNK1	P36010	W0T4F5	Q6C2B5	0.0123020551476695	0.0204947709547823	0.00135863866968059
OG0001604	YJL097W	PHS1	P40857	W0T8S9	Q6C203	0	0	0
OG0003257	YML035C	AMD1	P15274	W0TE06	Q6C690	0	0	0
OG0000979	YNL256W	FOL1	P53848	W0T3X7	Q6CI15	0	0	0
OG0000721	YML110C	COQ5	P49017	W0T570	Q6CBJ6	0	0	0
OG0001995	YGR007W	ECT1	P33412	W0TAK3	Q6CCV0	0	0	0
