rxns	rxnNames	grRules	subSystems	Std_GEM	Std_ecM	Std_ecP	HiT_GEM	HiT_ecM	HiT_ecP	LpH_GEM	LpH_ecM	LpH_ecP	Osm_GEM	Osm_ecM	Osm_ecP
r_0001	(R)-lactate:ferricytochrome-c 2-oxidoreductase	(YDL174C and YEL039C) or (YDL174C and YJR048W) or (YEL039C and YEL071W) or (YEL071W and YJR048W)	sce00620  Pyruvate metabolism//sce00920  Sulfur metabolism	0	0	0	0	0	0	0	0	0	0	0	0
r_0002	(R)-lactate:ferricytochrome-c 2-oxidoreductase	(YDL178W and YEL039C) or (YDL178W and YJR048W)	sce00620  Pyruvate metabolism//sce00920  Sulfur metabolism	0	0	0	0	0	0	0	0	0	0	0	0
r_0003	(R,R)-butanediol dehydrogenase	YAL060W	sce00650  Butanoate metabolism	0	0	0	0	-0.247990693311443	-0.17487314361639	0	-0.0853286445586363	0	0	-0.758027866492335	0
r_0004	(S)-lactate:ferricytochrome-c 2-oxidoreductase	(YEL039C and YML054C) or (YJR048W and YML054C)	sce00620  Pyruvate metabolism//sce00920  Sulfur metabolism	0	0	0	0	0	0	0	0	0	0	0	0
r_0005	1,3-beta-glucan synthase	YGR032W or YMR306W or (YLR342W and YCR034W)	sce00500  Starch and sucrose metabolism//sce04011  MAPK signaling pathway - yeast	0.0735693122512369	0.0674010533075766	0.0817979592021476	0.0758338807708045	0.070122108877821	0.0817979592021476	0.0758338807708045	0.070122108877821	0.0781479102833924	0.0758338807708045	0.070122108877821	0.055336440964079
r_0006	1,6-beta-glucan synthase	YGR143W or YPR159W		0.0245807657792147	0.0225197972799963	0.027330051573169	0.025337396861756	0.02342894657103	0.027330051573169	0.025337396861756	0.02342894657103	0.0261105098368325	0.025337396861756	0.02342894657103	0.0184888205057345
r_0007	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	YIL020C	sce00340  Histidine metabolism//sce01110  Biosynthesis of secondary metabolites//sce01230  Biosynthesis of amino acids	0.0073875584689775	0.00803629698202001	0.00699914184662808	0.00761495807124889	0.0083607312392604	0.00699914184662808	0.00761495807124889	0.0083607312392604	0.00737602721017573	0.00761495807124889	0.0083607312392604	0.00973142274016158
r_0012	1-pyrroline-5-carboxylate dehydrogenase	YHR037W	sce00250  Alanine, aspartate and glutamate metabolism//sce00330  Arginine and proline metabolism	0	0	0	0	0	0	0	0	0	0	0	0
r_0013	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	YEL038W and YMR009W	sce00270  Cysteine and methionine metabolism	0	0	0	0	0	0	0	0	0	0	0	0
r_0014	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	YOL066C	sce00740  Riboflavin metabolism	9.60340324393428e-05	9.61098388032777e-05	9.89901e-05	9.89900971355383e-05	9.998990001e-05	9.89901e-05	9.89900971355383e-05	9.998990001e-05	9.89901e-05	9.89900971355383e-05	9.998990001e-05	9.89901e-05
