OG..	S.cer	K.marx	Y.lipo
OG0000796	YGR001C	KLMA_10444	YALI0C22319g
OG0002688	YNL233W	KLMA_50623	YALI0A08261g
OG0002465	YBR034C	KLMA_50244	YALI0E18282g
OG0002344	YPL118W	KLMA_50039	YALI0B14993g
OG0002740	YNR011C	KLMA_60463	YALI0D09955g
OG0002010	YMR126C	KLMA_40075	YALI0D26532g
OG0003161	YAL041W	KLMA_80244	YALI0C14828g
OG0002343	YOR202W	KLMA_50038	YALI0E33957g
OG0002843	YLR051C	KLMA_60303	YALI0B03278g
OG0003010	YJL124C	KLMA_60028	YALI0A16775g
OG0003244	YOR117W	KLMA_80401	YALI0D09119g
OG0001163	YGL106W	KLMA_20240	YALI0E03388g
OG0001648	YLR022C	KLMA_30219	YALI0F25267g
OG0001356	YHR007C	KLMA_20551	YALI0B05126g
OG0001264	YCR079W	KLMA_20396	YALI0B22616g
OG0002048	YDR108W	KLMA_40130	YALI0E12177g
OG0000802	YHR018C	KLMA_10433	YALI0D26367g
OG0002107	YDR336W	KLMA_40241	YALI0C24013g
OG0002442	YKL095W	KLMA_50216	YALI0B17886g
OG0003058	YOR020C	KLMA_80087	YALI0B05610g
OG0000989	YNL265C	KLMA_10110	YALI0B04048g
OG0002795	YPL016W	KLMA_60376	YALI0E25960g
OG0003136	YMR304W	KLMA_80201	YALI0D16335g
OG0001487	YFL017C	KLMA_20768	YALI0D20152g
OG0001996	YGR012W	KLMA_40047	YALI0E08536g
OG0001711	YGL184C	KLMA_30325	YALI0D00605g
OG0001791	YPL167C	KLMA_30452	YALI0C21648g
OG0000816	YKR086W	KLMA_10409	YALI0B09053g
OG0002166	YER052C	KLMA_40342	YALI0D11704g
OG0002495	YDL170W	KLMA_50305	YALI0D20394g
OG0002925	YKL088W	KLMA_60162	YALI0E06413g
OG0003191	YBR112C	KLMA_80297	YALI0B07579g
OG0002570	YGR094W	KLMA_50431	YALI0F20218g
OG0003236	YNL320W	KLMA_80391	YALI0D24321g
OG0002199	YER078C	KLMA_40410	YALI0B20394g
OG0001986	YLR319C	KLMA_40032	YALI0E27918g
OG0001661	YOR043W	KLMA_30241	YALI0A06369g
OG0002390	YAL024C	KLMA_50120	YALI0E34727g
OG0003031	YEL062W	KLMA_80032	YALI0F02783g
OG0003112	YIL110W	KLMA_80158	YALI0F05258g
OG0002086	YOR168W	KLMA_40191	YALI0C03674g
OG0001372	YDR390C	KLMA_20577	YALI0D06259g
OG0002628	YLR149C	KLMA_50527	YALI0F29359g
OG0002718	YDL190C	KLMA_60503	YALI0D12452g
OG0003233	YBL084C	KLMA_80384	YALI0A19712g
OG0002737	YNR016C	KLMA_60469	YALI0C11407g
OG0001437	YJR012C	KLMA_20686	YALI0A20966g
OG0003087	YNL024C	KLMA_80128	YALI0D10234g
OG0002635	YDR175C	KLMA_50547	YALI0D08448g
OG0001017	YCL033C	KLMA_10060	YALI0C05533g
OG0001962	YKR097W	KLMA_30719	YALI0C16995g
OG0003436	YPR125W	KLMA_70302	YALI0F15873g
OG0003052	YLR006C	KLMA_80078	YALI0E15554g
OG0002659	YLR239C	KLMA_50581	YALI0F27357g
OG0001300	YBR271W	KLMA_20453	YALI0C03718g
OG0002689	YNL237W	KLMA_50627	YALI0F17798g
OG0003370	YCR071C	KLMA_70198	YALI0A06501g
OG0002257	YJR133W	KLMA_40502	YALI0E16753g
OG0000968	YJL204C	KLMA_10149	YALI0B19074g
OG0002474	YJL187C	KLMA_50261	YALI0F01716g
OG0002217	YLR447C	KLMA_40440	YALI0F16181g
OG0001886	YOR362C	KLMA_30594	YALI0F07469g
OG0002641	YDR182W	KLMA_50556	YALI0C08481g
OG0003173	YMR032W	KLMA_80262	YALI0E29557g
OG0001529	YKL207W	KLMA_30038	YALI0E21670g
OG0003129	YGR282C	KLMA_80185	YALI0B03564g
OG0001294	YHL028W	KLMA_20441	YALI0F04213g
OG0001767	YDR289C	KLMA_30415	YALI0E33231g
OG0001134	YPL147W	KLMA_20193	YALI0A06655g
OG0001478	YNL168C	KLMA_20753	YALI0C23122g
OG0003220	YER094C	KLMA_80354	YALI0F22341g
OG0002870	YHR121W	KLMA_60259	YALI0C11055g
OG0002203	YMR208W	KLMA_40418	YALI0B16038g
