OG	sce	kma	yli
OG0002079	YOR175C	KLMA_40179	YALI0F19514g
OG0001528	YJR073C	KLMA_30035	YALI0E12441g
OG0002341	YPL117C	KLMA_50036	YALI0F04015g
OG0000763	YMR300C	KLMA_10505	YALI0B15304g
OG0002086	YOR168W	KLMA_40191	YALI0C03674g
OG0000755	YER183C	KLMA_10513	YALI0D01309g
OG0003357	YER069W	KLMA_70175	YALI0B17666g
OG0002166	YER052C	KLMA_40342	YALI0D11704g
OG0003097	YNL037C	KLMA_80139	YALI0E05137g
OG0000859	YGR244C	KLMA_10336	YALI0D04741g
OG0002920	YKL085W	KLMA_60167	YALI0D16753g
OG0003251	YLL041C	KLMA_80408	YALI0D23397g
OG0001036	YGL256W	KLMA_20005	YALI0E15818g
OG0002443	YKL094W	KLMA_50217	YALI0C14520g
OG0002044	YDR037W	KLMA_40122	YALI0F16291g
OG0001685	YEL042W	KLMA_30281	YALI0C17941g
OG0001314	YFR019W	KLMA_20473	YALI0E29161g
OG0001764	YDR284C	KLMA_30412	YALI0B14531g
OG0001165	YNR041C	KLMA_20244	YALI0F05610g
OG0000972	YNL247W	KLMA_10137	YALI0D15268g
OG0000766	YMR296C	KLMA_10498	YALI0C03179g
OG0002737	YNR016C	KLMA_60469	YALI0C11407g
OG0003295	YLR382C	KLMA_70077	YALI0F02299g
OG0000667	YLR303W	KLMA_10677	YALI0D25168g
OG0001368	YOR143C	KLMA_20566	YALI0E21351g
OG0001680	YEL046C	KLMA_30275	YALI0A21417g
OG0001432	YMR165C	KLMA_20679	YALI0D27016g
OG0000674	YKL067W	KLMA_10663	YALI0F09229g
OG0001604	YJL097W	KLMA_30158	YALI0F11935g
OG0003257	YML035C	KLMA_70014	YALI0E11495g
OG0000979	YNL256W	KLMA_10126	YALI0A02541g
OG0000721	YML110C	KLMA_10581	YALI0C18205g
OG0001995	YGR007W	KLMA_40044	YALI0C06303g
OG0002267	YKL181W	KLMA_40524	YALI0B13552g
OG0001056	YBL013W	KLMA_20043	YALI0F06820g
OG0002739	YNR012W	KLMA_60464	YALI0E31009g
OG0002203	YMR208W	KLMA_40418	YALI0B16038g
OG0003195	YPR074C	KLMA_80302	YALI0E06479g
OG0001438	YJR013W	KLMA_20687	YALI0A20922g
OG0002477	YDR487C	KLMA_50270	YALI0B08965g
OG0003365	YNR033W	KLMA_70193	YALI0A05379g
